Game 0: Dominated Rows = 0, Dominated Columns = 0
Game 1: Dominated Rows = 1, Dominated Columns = 1
Game 2: Dominated Rows = 0, Dominated Columns = 0
Game 3: Dominated Rows = 0, Dominated Columns = 0
Game 4: Dominated Rows = 0, Dominated Columns = 0
Game 5: Dominated Rows = 0, Dominated Columns = 0
Game 6: Dominated Rows = 0, Dominated Columns = 0
Game 7: Dominated Rows = 0, Dominated Columns = 0
Game 8: Dominated Rows = 1, Dominated Columns = 1
Game 9: Dominated Rows = 1, Dominated Columns = 1
Game 10: Dominated Rows = 0, Dominated Columns = 0
Game 11: Dominated Rows = 1, Dominated Columns = 1
Game 12: Dominated Rows = 0, Dominated Columns = 0
Game 13: Dominated Rows = 0, Dominated Columns = 0
Game 14: Dominated Rows = 0, Dominated Columns = 0
Game 15: Dominated Rows = 1, Dominated Columns = 1
Game 16: Dominated Rows = 0, Dominated Columns = 0
Game 17: Dominated Rows = 1, Dominated Columns = 1
Game 18: Dominated Rows = 0, Dominated Columns = 0
Game 19: Dominated Rows = 0, Dominated Columns = 0
Game 20: Dominated Rows = 1, Dominated Columns = 1
Game 21: Dominated Rows = 0, Dominated Columns = 0
Game 22: Dominated Rows = 0, Dominated Columns = 0
Game 23: Dominated Rows = 1, Dominated Columns = 1
